,Iteration,x,f(x)
0,1,2.5966666666666667,-1.828180037037036
1,2,2.69026264248914,-0.2402394913141616
2,3,2.7020922628576725,-0.0295757953070658
3,4,2.703541518291072,-0.0036114306699488
4,5,2.703718377883973,-0.0004405424957578
5,6,2.703739950634641,-5.373327834234942e-05
6,7,2.7037425818548573,-6.553788240992731e-06
7,8,2.703742902781515,-7.993568207353974e-07
8,1,2.5966666666666667,-1.828180037037036
9,2,2.69026264248914,-0.2402394913141616
10,3,2.7020922628576725,-0.0295757953070658
11,4,2.703541518291072,-0.0036114306699488
12,5,2.703718377883973,-0.0004405424957578
13,6,2.703739950634641,-5.373327834234942e-05
14,7,2.7037425818548573,-6.553788240992731e-06
15,8,2.703742902781515,-7.993568207353974e-07
